sggdeu0401,translator-A,6,TGT,sgg,deu,100,srf.0#51-62,False,1663355331.157,1663355341.4
sggdeu0401,translator-A,5,TGT,sgg,deu,100,srf.0#51-62,False,1663355318.472,1663355331.132
sggdeu0401,translator-A,4,TGT,sgg,deu,100,srf.0#51-62,False,1663355306.449,1663355318.446
sggdeu0401,translator-A,3,TGT,sgg,deu,100,srf.0#51-62,False,1663355292.325,1663355306.429
sggdeu0401,translator-A,2,TGT,sgg,deu,100,srf.0#51-62,False,1663355279.518,1663355292.296
sggdeu0401,translator-A,1,TGT,sgg,deu,100,srf.0#51-62,False,1663355267.911,1663355279.487
sggdeu0401,translator-A,0,TGT,sgg,deu,67,srf.0#51-62,False,1663355256.63,1663355267.854
sggdeu0401,UPC,36,TGT,sgg,deu,0,focusnews.2#25-36,True,1663355134.305,1663355254.941
sggdeu0401,UPC,11,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355242.329,1663355249.942
sggdeu0401,UPC,10,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355238.858,1663355242.312
sggdeu0401,UPC,9,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355228.03,1663355238.805
sggdeu0401,UPC,8,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355225.09,1663355228.0
sggdeu0401,UPC,7,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355221.763,1663355225.068
sggdeu0401,UPC,6,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355213.381,1663355221.741
sggdeu0401,UPC,5,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355210.265,1663355213.363
sggdeu0401,UPC,4,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355204.285,1663355210.242
sggdeu0401,UPC,3,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355201.635,1663355204.257
sggdeu0401,UPC,2,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355198.636,1663355201.611
sggdeu0401,UPC,1,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355187.846,1663355198.61
sggdeu0401,UPC,0,TGT,sgg,deu,0,focusnews.2#25-36,False,1663355134.422,1663355187.813
sggdeu0401,UPC,38,TGT,sgg,deu,0,srf.0#27-38,True,1663355064.054,1663355133.004
